categoria,competicion,grupo,jornada,fecha,hora,estadio,superficie,árbitro,equipo_local,equipo_visitante,goles_local,goles_visitante,resultado,link_acta
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,4,06-10-2024,18:00,Mularedos,Hierba Natural,"PAZ HERMIDA, MANUEL",LAMELA C.F.,U.D. VAL DO ULLA,3,1,3-1,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186967&cod_acta=1186967
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,4,06-10-2024,17:00,Outeiriño,Hierba Artificial,"CASTRO SANMARTIN, SEBASTIAN",C.F. SILLEDA,A.C.U.D. CAMPORRAPADO,5,1,5-1,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186968&cod_acta=1186968
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,4,06-10-2024,17:00,A Cañoteira - Cacheiras-Antigo Ignacio,Hierba Artificial,"FONTES MOSQUEIRA, XESUS",S.D. CACHEIRAS,C.D.BELVIS,3,1,3-1,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186969&cod_acta=1186969
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,4,06-10-2024,17:00,Mpal Do Camballón,Hierba Artificial,"LAYA LOLO, XOEL",S.D. CRUCES,C.D. SPORT TEAM ESTRADA,0,5,0-5,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186970&cod_acta=1186970
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,4,06-10-2024,18:30,A Tilleira - Dubra,Hierba Artificial,"VIDAL FONSECA, GUSTAVO",S.D. DUBRA B,SOCIEDADE DEPORTIVA O PINO,2,0,2-0,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186971&cod_acta=1186971
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,4,06-10-2024,18:00,O Xeixo - Trazo,Hierba Natural,"MIGUENS SANTIAGO, SERGIO",TRAZO C.F.,S.D.C. RECESENDE,3,0,3-0,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186972&cod_acta=1186972
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,4,06-10-2024,16:45,Suso Conde,Hierba Artificial,"COSTA CAROU, OSCAR",S.D. VILLESTRO,RODEIRO C.F.,2,2,2-2,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186973&cod_acta=1186973
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,4,06-10-2024,18:00,San Mamed,Hierba Artificial,"ALCALA REY, ALFONSO",C.D. SAN MAMED,C.F. CIRE DE MELIDE,1,2,1-2,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186974&cod_acta=1186974
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,5,13-10-2024,17:30,Mularedos,Hierba Natural,"ENRIQUEZ PEREIRO, OSCAR",LAMELA C.F.,C.F. SILLEDA,1,3,1-3,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186975&cod_acta=1186975
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,5,13-10-2024,16:30,O Forte-Boqueixón,Hierba Artificial,"PAZ HERMIDA, MANUEL",A.C.U.D. CAMPORRAPADO,S.D. CACHEIRAS,0,1,0-1,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186976&cod_acta=1186976
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,5,13-10-2024,16:00,Campo de Fútbol Municipal As Cancelas,Hierba Artificial,"BUJAN VIDAL, BORJA",C.D.BELVIS,S.D. CRUCES,3,1,3-1,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186977&cod_acta=1186977
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,5,13-10-2024,17:30,Mcpal. Manuel Regueiro - Antiguo Figueroa,Hierba Artificial,"TORRES CORRAL, BEATRIZ MARIA",C.D. SPORT TEAM ESTRADA,S.D. DUBRA B,1,0,1-0,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186978&cod_acta=1186978
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,5,13-10-2024,17:00,Reboredo- Arca- O Pino,Hierba Artificial,"PONTE APONTE, ADRIAN",SOCIEDADE DEPORTIVA O PINO,TRAZO C.F.,2,0,2-0,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186979&cod_acta=1186979
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,5,13-10-2024,16:30,A Devesiña - Recesende,Tierra,"FERNANDEZ LODEIRO, ABEL",S.D.C. RECESENDE,S.D. VILLESTRO,2,1,2-1,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186980&cod_acta=1186980
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,5,13-10-2024,18:30,A Raña - Rodeiro,Hierba Artificial,"GAY CASAL, JAVIER",RODEIRO C.F.,C.D. SAN MAMED,2,1,2-1,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186981&cod_acta=1186981
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,5,13-10-2024,17:00,O Coto - Val Do Ulla,Hierba Artificial,"GARCIA IGLESIAS, BRAIS",U.D. VAL DO ULLA,C.F. CIRE DE MELIDE,1,4,1-4,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186982&cod_acta=1186982
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,6,20-10-2024,17:30,Outeiriño,Hierba Artificial,"GIL CALDELAS, SAMUEL",C.F. SILLEDA,U.D. VAL DO ULLA,2,5,2-5,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186983&cod_acta=1186983
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,6,20-10-2024,18:00,A Cañoteira - Cacheiras-Antigo Ignacio,Hierba Artificial,"ALCALA REY, ALFONSO",S.D. CACHEIRAS,LAMELA C.F.,4,2,4-2,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186984&cod_acta=1186984
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,6,20-10-2024,20:00,Mpal Do Camballón,Hierba Artificial,"ENRIQUEZ PEREIRO, OSCAR",S.D. CRUCES,A.C.U.D. CAMPORRAPADO,1,0,1-0,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186985&cod_acta=1186985
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,6,20-10-2024,16:00,A Tilleira - Dubra,Hierba Artificial,"ANTELO ROMERO, XAIRO",S.D. DUBRA B,C.D.BELVIS,4,2,4-2,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186986&cod_acta=1186986
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,6,19-10-2024,16:30,O Xeixo - Trazo,Hierba Natural,"FONTES MOSQUEIRA, XESUS",TRAZO C.F.,C.D. SPORT TEAM ESTRADA,0,4,0-4,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186987&cod_acta=1186987
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,6,20-10-2024,16:30,Suso Conde,Hierba Artificial,"CASAL BARREIRO, ADRIAN",S.D. VILLESTRO,SOCIEDADE DEPORTIVA O PINO,0,1,0-1,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186988&cod_acta=1186988
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,6,20-10-2024,18:00,San Mamed,Hierba Artificial,"HERNANDEZ GIADANS, AGUSTIN",C.D. SAN MAMED,S.D.C. RECESENDE,3,1,3-1,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186989&cod_acta=1186989
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,6,20-10-2024,12:00,Campo Municipal Jesús Carlos Pampin Rua,Hierba Artificial,"MARTINEZ SANTOS, OSCAR",C.F. CIRE DE MELIDE,RODEIRO C.F.,1,0,1-0,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186990&cod_acta=1186990
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,7,27-10-2024,16:30,Outeiriño,Hierba Artificial,"ANTELO ROMERO, XAIRO",C.F. SILLEDA,S.D. CACHEIRAS,1,4,1-4,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186991&cod_acta=1186991
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,7,27-10-2024,17:00,Mularedos,Hierba Natural,"GAY CASAL, JAVIER",LAMELA C.F.,S.D. CRUCES,2,1,2-1,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186992&cod_acta=1186992
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,7,27-10-2024,17:00,O Forte-Boqueixón,Hierba Artificial,"LAYA LOLO, XOEL",A.C.U.D. CAMPORRAPADO,S.D. DUBRA B,1,3,1-3,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186993&cod_acta=1186993
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,7,27-10-2024,16:30,Campo de Fútbol Municipal As Cancelas,Hierba Artificial,"GOMEZ GUTIERREZ, ADRIAN JOSE",C.D.BELVIS,TRAZO C.F.,4,3,4-3,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186994&cod_acta=1186994
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,7,27-10-2024,17:00,Mcpal. Manuel Regueiro - Antiguo Figueroa,Hierba Artificial,"CASTRO SANMARTIN, SEBASTIAN",C.D. SPORT TEAM ESTRADA,S.D. VILLESTRO,4,0,4-0,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186995&cod_acta=1186995
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,7,27-10-2024,17:00,Reboredo- Arca- O Pino,Hierba Artificial,"VILAS LORENZO, MIGUEL ANGEL",SOCIEDADE DEPORTIVA O PINO,C.D. SAN MAMED,4,0,4-0,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186996&cod_acta=1186996
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,7,27-10-2024,16:00,A Devesiña - Recesende,Tierra,"REGO RODRIGUEZ, JOSE LUIS",S.D.C. RECESENDE,C.F. CIRE DE MELIDE,0,2,0-2,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186997&cod_acta=1186997
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,7,27-10-2024,17:30,O Coto - Val Do Ulla,Hierba Artificial,"FERNANDEZ LODEIRO, ABEL",U.D. VAL DO ULLA,RODEIRO C.F.,0,1,0-1,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186998&cod_acta=1186998
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,8,03-11-2024,17:00,A Cañoteira - Cacheiras-Antigo Ignacio,Hierba Artificial,"REBOREDO RIADIGOS, JOSE LUIS",S.D. CACHEIRAS,U.D. VAL DO ULLA,3,1,3-1,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186999&cod_acta=1186999
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,8,03-11-2024,19:00,Mpal Do Camballón,Hierba Artificial,"CASTRO SANMARTIN, SEBASTIAN",S.D. CRUCES,C.F. SILLEDA,2,4,2-4,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187000&cod_acta=1187000
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,8,03-11-2024,16:30,A Tilleira - Dubra,Hierba Artificial,"MARTINEZ SANTOS, OSCAR",S.D. DUBRA B,LAMELA C.F.,3,1,3-1,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187001&cod_acta=1187001
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,8,03-11-2024,12:30,O Xeixo - Trazo,Hierba Natural,"HERNANDEZ GIADANS, AGUSTIN",TRAZO C.F.,A.C.U.D. CAMPORRAPADO,2,1,2-1,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187002&cod_acta=1187002
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,8,03-11-2024,16:30,Suso Conde,Hierba Artificial,"TORRES CORRAL, BEATRIZ MARIA",S.D. VILLESTRO,C.D.BELVIS,0,2,0-2,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187003&cod_acta=1187003
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,8,03-11-2024,17:00,San Mamed,Hierba Artificial,"SOTO PEREZ, SECUNDINO",C.D. SAN MAMED,C.D. SPORT TEAM ESTRADA,0,2,0-2,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187004&cod_acta=1187004
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,8,03-11-2024,17:00,Campo Municipal Jesús Carlos Pampin Rua,Hierba Artificial,"ELESPE TIREUX, NICOLAS",C.F. CIRE DE MELIDE,SOCIEDADE DEPORTIVA O PINO,3,0,3-0,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187005&cod_acta=1187005
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,8,03-11-2024,16:15,A Raña - Rodeiro,Hierba Artificial,"ENRIQUEZ PEREIRO, OSCAR",RODEIRO C.F.,S.D.C. RECESENDE,1,0,1-0,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187006&cod_acta=1187006
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,9,10-11-2024,17:00,A Cañoteira - Cacheiras-Antigo Ignacio,Hierba Artificial,"CASTRO CASTRO, MIGUEL ANGEL",S.D. CACHEIRAS,S.D. CRUCES,2,0,2-0,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187007&cod_acta=1187007
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,9,10-11-2024,16:30,Outeiriño,Hierba Artificial,"FERNANDEZ MONTOUTO, RUBEN",C.F. SILLEDA,S.D. DUBRA B,1,1,1-1,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187008&cod_acta=1187008
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,9,10-11-2024,16:45,Mularedos,Hierba Natural,"ENRIQUEZ PEREIRO, OSCAR",LAMELA C.F.,TRAZO C.F.,4,3,4-3,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187009&cod_acta=1187009
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,9,10-11-2024,16:15,Da Silveira- Camporrapado,Hierba Natural,"SOTO PEREZ, SECUNDINO",A.C.U.D. CAMPORRAPADO,S.D. VILLESTRO,0,2,0-2,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187010&cod_acta=1187010
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,9,10-11-2024,16:00,Suso Conde,Hierba Artificial,"MIRAZO INSUA, PEDRO",C.D.BELVIS,C.D. SAN MAMED,1,0,1-0,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187011&cod_acta=1187011
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,9,10-11-2024,17:30,Mcpal. Manuel Regueiro - Antiguo Figueroa,Hierba Artificial,"RODRIGUEZ MUNIN, DANIEL",C.D. SPORT TEAM ESTRADA,C.F. CIRE DE MELIDE,0,0,0-0,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187012&cod_acta=1187012
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,9,10-11-2024,17:00,Reboredo- Arca- O Pino,Hierba Artificial,"QUINTANA PEREIRO, SERGIO",SOCIEDADE DEPORTIVA O PINO,RODEIRO C.F.,2,0,2-0,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187013&cod_acta=1187013
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,9,10-11-2024,17:00,O Coto - Val Do Ulla,Hierba Artificial,"GAY CASAL, JAVIER",U.D. VAL DO ULLA,S.D.C. RECESENDE,2,0,2-0,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187014&cod_acta=1187014
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,10,17-11-2024,20:00,Mpal Do Camballón,Hierba Artificial,"COUTO MENDOZA, OSCAR",S.D. CRUCES,U.D. VAL DO ULLA,0,1,0-1,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1187015&cod_acta=1187015
