temporada,categoria,competicion,grupo,jornada,cod_acta,equipo_local,equipo_visitante,equipo,rival,local_visitante,evento,minuto,parte,jugador,tipo_gol,jugador_entra,jugador_sale,num_sustitucion,resultado_parcial
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,local,sustitucion,77,2,,,"RIVEIRA DA COSTA, MARTIN","BARRUSO ARIAS, HUGO",4,3-1
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,local,gol,84,2,"FERNANDEZ GONZALEZ, IAGO JOSE",normal,,,,4-1
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,local,gol,86,2,"VARELA MIRANDA, MATEO",normal,,,,5-1
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186945,SOCIEDADE DEPORTIVA O PINO,C.F. SILLEDA,C.F. SILLEDA,SOCIEDADE DEPORTIVA O PINO,visitante,gol,20,1,"FERNÁNDEZ GARCÍA, RUBÉN",normal,,,,0-1
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186945,SOCIEDADE DEPORTIVA O PINO,C.F. SILLEDA,C.F. SILLEDA,SOCIEDADE DEPORTIVA O PINO,visitante,gol,22,1,"CAMBEIRO COSTA, AIRAS",normal,,,,0-2
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186945,SOCIEDADE DEPORTIVA O PINO,C.F. SILLEDA,SOCIEDADE DEPORTIVA O PINO,C.F. SILLEDA,local,gol,27,1,"LAREO MERA, LUCAS",normal,,,,1-2
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186945,SOCIEDADE DEPORTIVA O PINO,C.F. SILLEDA,C.F. SILLEDA,SOCIEDADE DEPORTIVA O PINO,visitante,gol,36,1,"CAMBEIRO COSTA, AIRAS",normal,,,,1-3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186945,SOCIEDADE DEPORTIVA O PINO,C.F. SILLEDA,C.F. SILLEDA,SOCIEDADE DEPORTIVA O PINO,visitante,gol,48,2,"RIVERO MONTOTO, NUNO",normal,,,,1-4
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186945,SOCIEDADE DEPORTIVA O PINO,C.F. SILLEDA,C.F. SILLEDA,SOCIEDADE DEPORTIVA O PINO,visitante,tarjeta amarilla,51,2,"ALONSO GIL, GUILLERMO",,,,,1-4
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186945,SOCIEDADE DEPORTIVA O PINO,C.F. SILLEDA,SOCIEDADE DEPORTIVA O PINO,C.F. SILLEDA,local,tarjeta amarilla,91,2,"BLANCO GARCIA, HUGO",,,,,1-4
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186946,S.D.C. RECESENDE,S.D. CACHEIRAS,S.D. CACHEIRAS,S.D.C. RECESENDE,visitante,gol,10,1,"CARBALLAL MONTEAGUDO, SAUL",normal,,,,0-1
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186946,S.D.C. RECESENDE,S.D. CACHEIRAS,S.D.C. RECESENDE,S.D. CACHEIRAS,local,tarjeta amarilla,31,1,"IGLESIAS RODRIGUEZ, CRISTIAN",,,,,0-1
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186946,S.D.C. RECESENDE,S.D. CACHEIRAS,S.D. CACHEIRAS,S.D.C. RECESENDE,visitante,gol,33,1,"MARTINEZ RODRIGUEZ, ALESSANDRO EDUARDO",normal,,,,0-2
