cod_temporada,cod_competicion,cod_grupo,jornada,fecha,hora,estadio,superficie,árbitro,equipo_local,equipo_visitante,cod_acta,link_acta
20,20005965,22010839,3,29-09-2024,18:00,O Coto - Val Do Ulla,Hierba Artificial,"GARCIA VEIRAS, RAUL",U.D. VAL DO ULLA,C.D. SAN MAMED,1186966,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186966&cod_acta=1186966
20,20005965,22010839,4,06-10-2024,18:00,Mularedos,Hierba Natural,"PAZ HERMIDA, MANUEL",LAMELA C.F.,U.D. VAL DO ULLA,1186967,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186967&cod_acta=1186967
20,20005965,22010839,4,06-10-2024,17:00,Outeiriño,Hierba Artificial,"CASTRO SANMARTIN, SEBASTIAN",C.F. SILLEDA,A.C.U.D. CAMPORRAPADO,1186968,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186968&cod_acta=1186968
20,20005965,22010839,4,06-10-2024,17:00,A Cañoteira - Cacheiras-Antigo Ignacio,Hierba Artificial,"FONTES MOSQUEIRA, XESUS",S.D. CACHEIRAS,C.D.BELVIS,1186969,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186969&cod_acta=1186969
20,20005965,22010839,4,06-10-2024,17:00,Mpal Do Camballón,Hierba Artificial,"LAYA LOLO, XOEL",S.D. CRUCES,C.D. SPORT TEAM ESTRADA,1186970,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186970&cod_acta=1186970
20,20005965,22010839,4,06-10-2024,18:30,A Tilleira - Dubra,Hierba Artificial,"VIDAL FONSECA, GUSTAVO","S.D. DUBRA ""B""",SOCIEDADE DEPORTIVA O PINO,1186971,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186971&cod_acta=1186971
20,20005965,22010839,4,06-10-2024,18:00,O Xeixo - Trazo,Hierba Natural,"MIGUENS SANTIAGO, SERGIO",TRAZO C.F.,S.D.C. RECESENDE,1186972,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186972&cod_acta=1186972
20,20005965,22010839,4,06-10-2024,16:45,Suso Conde,Hierba Artificial,"COSTA CAROU, OSCAR",S.D. VILLESTRO,RODEIRO C.F.,1186973,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186973&cod_acta=1186973
20,20005965,22010839,4,06-10-2024,18:00,San Mamed,Hierba Artificial,"ALCALA REY, ALFONSO",C.D. SAN MAMED,C.F. CIRE DE MELIDE,1186974,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186974&cod_acta=1186974
20,20005965,22010839,5,13-10-2024,17:30,Mularedos,Hierba Natural,"ENRIQUEZ PEREIRO, OSCAR",LAMELA C.F.,C.F. SILLEDA,1186975,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186975&cod_acta=1186975
