minuto,jugador,tipo_gol,equipo,marcador,cod_acta
36,"MIGUEZ REY, MICHAEL",Penalti,S.D.C. RECESENDE,1-2,1186963
47,"FORJAN GARCIA, ADRIAN",Normal,S.D. DUBRA B,1-3,1186963
58,"DUBRA LORENZO, ALEJANDRO",Normal,S.D. DUBRA B,1-4,1186963
10,"BECERRA VARELA, ESTEBAN",Normal,TRAZO C.F.,0-1,1186964
35,"BARREIRO TURNES, MOISES",Normal,RODEIRO C.F.,1-1,1186964
43,"BARREIRO TURNES, MOISES",Propia Puerta,TRAZO C.F.,1-2,1186964
69,"OTERO ARIAS, JOSE L",Normal,RODEIRO C.F.,2-2,1186964
15,"PEREIRO SANCHEZ, DAVID",Normal,C.F. CIRE DE MELIDE,1-0,1186965
25,"PAMPIN NOGUEROL, DANIEL",Normal,C.F. CIRE DE MELIDE,2-0,1186965
34,"DE SOUSA OLIVEIRA, THIAGO",Normal,S.D. VILLESTRO,2-1,1186965
80,"FREIRIA LOPEZ, JORGE",Normal,U.D. VAL DO ULLA,1-0,1186966
66,"FIGUEIRAS GAGO, ALEJANDRO",Normal,LAMELA C.F.,1-0,1186967
70,"GARCIA CARRERA, MANUEL",Normal,LAMELA C.F.,2-0,1186967
75,"ESPIÑO CUIÑA, LOIS",Penalti,LAMELA C.F.,3-0,1186967
90'+1,"TORRES TEIXEIRA, ALEXANDRE",Normal,U.D. VAL DO ULLA,3-1,1186967
4,"DOS REIS FERRO, OSCAR",Normal,A.C.U.D. CAMPORRAPADO,0-1,1186968
48,"ESPANTOSO LAMAS, RICARDO",Normal,C.F. SILLEDA,1-1,1186968
52,"ESPANTOSO LAMAS, RICARDO",Penalti,C.F. SILLEDA,2-1,1186968
55,"PEREZ FERNANDEZ, NUNO",Normal,C.F. SILLEDA,3-1,1186968
74,"CAMBEIRO COSTA, AIRAS",Normal,C.F. SILLEDA,4-1,1186968
79,"RIVERO MONTOTO, NUNO",Normal,C.F. SILLEDA,5-1,1186968
14,"MARTINEZ RODRIGUEZ, ALESSANDRO EDUARDO",Normal,S.D. CACHEIRAS,1-0,1186969
29,"RAMOS CASTRO, ANDRÉS",Normal,C.D.BELVIS,1-1,1186969
46,"MARTINEZ RODRIGUEZ, ALESSANDRO EDUARDO",Normal,S.D. CACHEIRAS,2-1,1186969
78,"SALGUEIRO POMBO, DAVID",Normal,S.D. CACHEIRAS,3-1,1186969
11,"GONZALEZ SANCHEZ, ALEJANDRO",Propia Puerta,C.D. SPORT TEAM ESTRADA,0-1,1186970
20,"VARELA MIRANDA, MATEO",Normal,C.D. SPORT TEAM ESTRADA,0-2,1186970
40,"FUENTES IGLESIAS, CARLOS",Propia Puerta,C.D. SPORT TEAM ESTRADA,0-3,1186970
64,"CHEDAS DURAN, ALFONSO",Normal,C.D. SPORT TEAM ESTRADA,0-4,1186970
78,"LAHSAN, MESAUD MOHAMED FADEL",Normal,C.D. SPORT TEAM ESTRADA,0-5,1186970
56,"PARAFITA BOQUETE, ANGEL",Normal,S.D. DUBRA B,1-0,1186971
70,"RAMAS MUIÑO, MARTIN",Normal,S.D. DUBRA B,2-0,1186971
10,"CANCELA CONDE, ALEJANDRO",Normal,TRAZO C.F.,1-0,1186972
64,"ARIAS GARCIA, SERGIO",Normal,TRAZO C.F.,2-0,1186972
70,"ARIAS GARCIA, SERGIO",Penalti,TRAZO C.F.,3-0,1186972
52,"GARCIA VENCE, JOSE MANUEL",Normal,RODEIRO C.F.,0-1,1186973
76,"AREÁN DIEGUEZ, OVIDIO",Normal,RODEIRO C.F.,0-2,1186973
