jugador_entra,jugador_sale,minuto,equipo,cod_acta
"FUENTES OTERO, ANDRES","REY MILLAN, DAVID",54,S.D. VILLESTRO,1187003
"RODRIGUEZ GONZALEZ, YAGO","VILLA MARIÑO, SERGIO",54,S.D. VILLESTRO,1187003
"PEREZ RIO, VICTOR","FIGUEIRAS PORTELA, FERNANDO",71,S.D. VILLESTRO,1187003
"PEROL SEOANE, MICHAEL","PAN PEREZ PUJOL, PABLO",77,S.D. VILLESTRO,1187003
"PROL BREA, DIEGO","MIGUEZ MEIJOMIL, MIGUEL",45,C.D.BELVIS,1187003
"BATISTA RAMOS, WALDIR F","GUTIERREZ VAZQUEZ, EDUARDO",60,C.D.BELVIS,1187003
"SANTIAGO RIVAS, MARIO","IGLESIAS QUINTEIRO, JOSE RAMON",60,C.D.BELVIS,1187003
"SEIJO CASTRO, YAGO","FERNANDEZ PEREZ, JESUS DE BELEN",73,C.D.BELVIS,1187003
"RODRIGUEZ VILAS, BRAIS","FRANCOS CREGO, JULIAN",81,C.D.BELVIS,1187003
"BESTEIRO SAEZ, JAVIER","REY CALVO, BRAIS",46,C.D. SAN MAMED,1187004
"RENDO GUITIAN, ALEXANDRE","LOUZAO FERNANDEZ, MANUEL",63,C.D. SAN MAMED,1187004
"MACEIRA MATO, ALFONSO","CHAS BROCOS, IAGO SENEN",68,C.D. SAN MAMED,1187004
"LAHSAN, MESAUD MOHAMED FADEL","GOMEZ CORA, ADRIAN",57,C.D. SPORT TEAM ESTRADA,1187004
"FERNANDEZ GONZALEZ, IAGO JOSE","IGLESIAS PALLAS, FERNANDO",68,C.D. SPORT TEAM ESTRADA,1187004
"RIVADULLA QUINTAS, LUIS MIGUEL","CHEDAS DURAN, ALFONSO",88,C.D. SPORT TEAM ESTRADA,1187004
"TOUCEDA GOLDAR, IAGO","CERVIÑO CARRACEDO, ANDRES",88,C.D. SPORT TEAM ESTRADA,1187004
"PARRADO ROMERO, CARLOS","CASTRELO FERNANDEZ, MIGUEL",56,C.F. CIRE DE MELIDE,1187005
"PAMPIN NOGUEROL, DANIEL","VAZQUEZ NOVAS, MANUEL",70,C.F. CIRE DE MELIDE,1187005
"VAZQUEZ RAMOS, OMAR A","SESTO MOSQUERA, ANXO",81,C.F. CIRE DE MELIDE,1187005
"RODRIGUEZ RODRIGUEZ, JACOBO","PEREIRO SANCHEZ, DAVID",81,C.F. CIRE DE MELIDE,1187005
"CALVO IGLESIAS, IAGO","PORTOS VILLAR, BORJA",55,SOCIEDADE DEPORTIVA O PINO,1187005
"CANABAL CASTRO, ISMAEL","GARCIA SENRA, DIEGO",55,SOCIEDADE DEPORTIVA O PINO,1187005
"SUAREZ LISTE, OSCAR","CEREIJO IGLESIAS, ALBERTO L",55,SOCIEDADE DEPORTIVA O PINO,1187005
"VILLAR VILLAR, IVAN","FUENTES PARRA, DANIEL",76,SOCIEDADE DEPORTIVA O PINO,1187005
"ORTIZ MOLINA, JHON ALI","PAZO DURO, JAVIER",86,SOCIEDADE DEPORTIVA O PINO,1187005
"BARCALA FERNANDEZ, RODRIGO","AREÁN DIEGUEZ, OVIDIO",35,RODEIRO C.F.,1187006
"LÓPEZ GONZÁLEZ, IGNACIO","BARCALA FERNANDEZ, RODRIGO",58,RODEIRO C.F.,1187006
"ROA BECERRA, YAGO","FRANCO SANMARTIN, CARLOS L",60,S.D.C. RECESENDE,1187006
"MOSQUERA GARRIDO, DIEGO","CALVO CUTRIN, RAUL",60,S.D.C. RECESENDE,1187006
"VILAS CONSTANTINO, ADRIAN","NOYA GOMEZ, DANIEL",78,S.D.C. RECESENDE,1187006
"GARCIA DURAN, RUBEN","MARTINS TERRON, WAGNER RONALDO",78,S.D.C. RECESENDE,1187006
"BOUZAS MOSQUERA, MANUEL","FARIÑA BRAVO, ADRIAN",66,S.D. CACHEIRAS,1187007
"CEPEDA MENDOZA, ALEJANDRO","BAUTISTA SANDOVAL, EMIL DANIEL",74,S.D. CACHEIRAS,1187007
"DOSUNA SOUTO, BRAIS","OTERO MATEOS, PABLO",80,S.D. CACHEIRAS,1187007
"SANTISO TORREIRO, RICARDO","VILARIÑO SALGADO, DIEGO",46,S.D. CRUCES,1187007
"OTERO MARTINEZ, CHRISTIAN","FERNANDEZ REBOREDO, JUAN",46,S.D. CRUCES,1187007
"DOMINGUEZ GARCIA, ADRIAN","FUENTES IGLESIAS, CARLOS",73,S.D. CRUCES,1187007
"LYAGOUBI, MOHAMED AMINE","OTERO IGLESIAS, OSCAR",73,S.D. CRUCES,1187007
"CORBAL CANGADO, BENITO","KHALLOUK EL AMRANI, MOHAMED",73,S.D. CRUCES,1187007
"ESPIÑO RODRIGUEZ, AARON","ESPANTOSO LAMAS, RICARDO",75,C.F. SILLEDA,1187008
"NOGUEIRA GONZALEZ, PABLO","RIELO COUSO, HUGO",85,C.F. SILLEDA,1187008
"LOPEZ DE LA FUENTE, ELOI","(90+1') CAMBEIRO COSTA, AIRAS",0,C.F. SILLEDA,1187008
"IGLESIAS DOMINGUEZ, OSCAR","RODRIGUEZ FERNANDEZ, ADRIAN",46,S.D. DUBRA B,1187008
"DUBRA LORENZO, ALEJANDRO","NIETO GARCIA, BRAIS",46,S.D. DUBRA B,1187008
"RIVAS SUAREZ, MARTIN","RODRIGUEZ LANDEIRA, SERGIO J",77,S.D. DUBRA B,1187008
"ARNEJO DIAZ, BRAIS","FORJAN GARCIA, ADRIAN",85,S.D. DUBRA B,1187008
"PEITEADO MOLEDO, SERGIO","DOVAL GARCIA, ION",53,LAMELA C.F.,1187009
"CANABAL DE LA FUENTE, CRISTIAN","LUGO PADIN, ESTEBAN",53,LAMELA C.F.,1187009
"ABONJO BOUZAS, ALEJANDRO","GARCIA CARRERA, MANUEL",60,LAMELA C.F.,1187009
"RIOS ALCAIDE, JUAN MANUEL","RIVEIRA MURCIA, HUGO",60,LAMELA C.F.,1187009
"PORTELA RIVAS, XIAO","FIGUEIRAS GAGO, ALEJANDRO",63,LAMELA C.F.,1187009
"BERTOA VIQUEIRA, JOSE J","MARTINEZ DE SANTIAGO, DIEGO",46,TRAZO C.F.,1187009
"CASTRO OTERO, SAMUEL","ARIAS GARCIA, SERGIO",62,TRAZO C.F.,1187009
"GARCIA LOPEZ, PABLO","EZERROUGUY, MOHAMED SAID",66,TRAZO C.F.,1187009
"VARELA CAAMAÑO, DANIEL","BOVEDA TOSAR, ANDRE",87,TRAZO C.F.,1187009
"VEIGA ROSENDE, IAGO","VIEITES BOUZON, MARTIN",73,A.C.U.D. CAMPORRAPADO,1187010
"GUERRERO NIEVES, FRANCISCO J","ESPADA PAZOS, JORGE",78,A.C.U.D. CAMPORRAPADO,1187010
"PAJARO BARRAN, DANIEL","DOS REIS FERRO, OSCAR",78,A.C.U.D. CAMPORRAPADO,1187010
"SANMARTIN LAREO, MANUEL ANGEL","LOPEZ CANICOBA, FABIAN",83,A.C.U.D. CAMPORRAPADO,1187010
"PEREIRAS PEREIRO, RAFAEL","MÍGUEZ SANMARTÍN, MIGUEL",83,A.C.U.D. CAMPORRAPADO,1187010
"PEREZ MARCOS, VICTOR","BRITO GUZMAN, ALVARO",46,S.D. VILLESTRO,1187010
"PEREZ RIO, VICTOR","RODRIGUEZ GONZALEZ, YAGO",65,S.D. VILLESTRO,1187010
"FIGUEIRAS PORTELA, FERNANDO","DE SOUSA OLIVEIRA, THIAGO",69,S.D. VILLESTRO,1187010
"PEROL SEOANE, MICHAEL","LISTE MONTOIRO, FRANCISCO",76,S.D. VILLESTRO,1187010
"PROL BREA, DIEGO","FERNANDEZ PEREZ, JESUS DE BELEN",53,C.D.BELVIS,1187011
"BATISTA RAMOS, WALDIR F","VILLAVERDE SIXTO, BRAIS",53,C.D.BELVIS,1187011
"SANTIAGO RIVAS, MARIO","IGLESIAS QUINTEIRO, JOSE RAMON",65,C.D.BELVIS,1187011
"SEIJO CASTRO, YAGO","MIGUEZ MEIJOMIL, MIGUEL",69,C.D.BELVIS,1187011
"CHAS BROCOS, IAGO SENEN","BESTEIRO SAEZ, JAVIER",63,C.D. SAN MAMED,1187011
"REY CALVO, MARTIN","RENDO OUZANDE, XAVIER",79,C.D. SAN MAMED,1187011
"CHEDAS DURAN, ALFONSO","GOMEZ CORA, ADRIAN",64,C.D. SPORT TEAM ESTRADA,1187012
"FERNANDEZ GONZALEZ, IAGO JOSE","TOUCEDA GOLDAR, MIGUEL",64,C.D. SPORT TEAM ESTRADA,1187012
"MIGUEZ VIDAL, DANIEL","FIGUEIRAS GARCIA, PAULO",79,C.D. SPORT TEAM ESTRADA,1187012
"GOMEZ LOPEZ, EZEQUIEL","LAHSAN, MESAUD MOHAMED FADEL",90,C.D. SPORT TEAM ESTRADA,1187012
"PARRADO ROMERO, CARLOS","CASTRELO FERNANDEZ, MIGUEL",59,C.F. CIRE DE MELIDE,1187012
"MOSTEIRO GOMEZ, ADRIAN","VAZQUEZ NOVAS, MANUEL",70,C.F. CIRE DE MELIDE,1187012
"VILLAR VILLAR, IVAN","FARIÑAS LOPEZ, ALEJANDRO",60,SOCIEDADE DEPORTIVA O PINO,1187013
"PORTOS VILLAR, BORJA","GARCIA SENRA, DIEGO",60,SOCIEDADE DEPORTIVA O PINO,1187013
"SUAREZ LISTE, OSCAR","LAREO MERA, LUCAS",60,SOCIEDADE DEPORTIVA O PINO,1187013
"VARELA SOUTO, OSCAR","FUENTES PARRA, DANIEL",73,SOCIEDADE DEPORTIVA O PINO,1187013
"RIAL CHICO, DANIEL","FERREIRO RIAL, RUBEN",88,SOCIEDADE DEPORTIVA O PINO,1187013
"BARCALA FERNANDEZ, RODRIGO","LAMAZARES CASERO, ALBERTO",16,RODEIRO C.F.,1187013
"LÓPEZ GONZÁLEZ, IGNACIO","CANGADO VILLAMARIN, CARLOS",80,RODEIRO C.F.,1187013
"CASAL REBOLO, PEDRO J","MERA SOUTO, ALEJANDRO",46,U.D. VAL DO ULLA,1187014
"DIEGUEZ LOUREIRO, RAMIRO","SANCHEZ CARPINTEIRO, MIGUEL",46,U.D. VAL DO ULLA,1187014
"CANICOBA BERNARDEZ, BRAIS","FREIRIA LOPEZ, JORGE",65,U.D. VAL DO ULLA,1187014
"TAIBO MERA, FRANCISCO","RODRIGUEZ NUÑEZ, XABIER",73,U.D. VAL DO ULLA,1187014
"AMBOAGE VILLAR, IVAN","CALVIÑO IGLESIAS, PABLO",73,U.D. VAL DO ULLA,1187014
"ALDREY MÍGUEZ, MANUEL","TORRES SUAREZ, SANTIAGO",46,S.D.C. RECESENDE,1187014
"JIMÉNEZ ALBARRAN, SERGIO","TEMBRA SOUTO, SANTIAGO",60,S.D.C. RECESENDE,1187014
"MOSQUERA GARRIDO, DIEGO","CALVO CUTRIN, RAUL",65,S.D.C. RECESENDE,1187014
"MUIÑA BARREIRO, ALEJANDRO","GARCIA DURAN, RUBEN",74,S.D.C. RECESENDE,1187014
"SANMARTIN GARCIA, MARCOS","OTERO IGLESIAS, OSCAR",56,S.D. CRUCES,1187015
"LOPEZ REY, LEO","OTERO MARTINEZ, CHRISTIAN",56,S.D. CRUCES,1187015
"LYAGOUBI, MOHAMED AMINE","SANTISO TORREIRO, RICARDO",78,S.D. CRUCES,1187015
"FERNANDEZ REBOREDO, JUAN","GRANJA HERMIDA, JESUS ANTONIO",78,S.D. CRUCES,1187015
"VAZQUEZ BALBOA, XURXO","JACOME AMARANTE, IVAN",78,S.D. CRUCES,1187015
"CANICOBA BERNARDEZ, BRAIS","TAIBO MERA, FRANCISCO",65,U.D. VAL DO ULLA,1187015
"NEIRA CARPINTEIRO, PABLO","AMBOAGE VILLAR, IVAN",65,U.D. VAL DO ULLA,1187015
"SANJUAS CASAL, SERGIO","SANCHEZ CARPINTEIRO, MIGUEL",65,U.D. VAL DO ULLA,1187015
"LANDEIRA GANDARA, FRANCISCO","RODRIGUEZ NUÑEZ, XABIER",78,U.D. VAL DO ULLA,1187015
"CASAL REBOLO, PEDRO J","CALVIÑO IGLESIAS, PABLO",78,U.D. VAL DO ULLA,1187015
"RODRIGUEZ LANDEIRA, SERGIO J","DUBRA LORENZO, ALEJANDRO",9,S.D. DUBRA B,1187016
"NIETO GARCIA, BRAIS","BARDANCA REY, GONZALO",83,S.D. DUBRA B,1187016
"RODRIGUEZ FERNANDEZ, ADRIAN","LIÑARES NOYA, FABIAN",90,S.D. DUBRA B,1187016
"CERNADAS NOYA, LUCAS","RAMAS MUIÑO, MARTIN",90,S.D. DUBRA B,1187016
"MOREDO RODRIGUEZ, EMMANUEL","OTERO MATEOS, PABLO",67,S.D. CACHEIRAS,1187016
"BAUTISTA SANDOVAL, EMIL DANIEL","CARBALLAL MONTEAGUDO, SAUL",76,S.D. CACHEIRAS,1187016
"MARTINEZ DE SANTIAGO, DIEGO","NOYA BREA, ALVARO",23,TRAZO C.F.,1187017
"CASTRO OTERO, SAMUEL","EZERROUGUY, MOHAMED SAID",62,TRAZO C.F.,1187017
"NIETO GESTO, CARLOS","BECERRA VARELA, ESTEBAN",73,TRAZO C.F.,1187017
"CEBEY DE LA TORRE, MANUEL","BERTOA VIQUEIRA, JOSE J",73,TRAZO C.F.,1187017
"PICANS REY, HUGO","PEREZ FERNANDEZ, NUNO",69,C.F. SILLEDA,1187017
"ESPIÑO RODRIGUEZ, AARON","ALONSO GIL, GUILLERMO",69,C.F. SILLEDA,1187017
"LOPEZ DE LA FUENTE, ELOI","RIELO COUSO, HUGO",69,C.F. SILLEDA,1187017
"ESPANTOSO LAMAS, JORGE","RIELO COUSO, LUCAS",76,C.F. SILLEDA,1187017
"FERREIRO ESPANTOSO, DIEGO","CAMBEIRO COSTA, AIRAS",87,C.F. SILLEDA,1187017
"PEROL SEOANE, MICHAEL","NIETO GOMEZ, JAVIER",15,S.D. VILLESTRO,1187018
"VILLA MARIÑO, SERGIO","PEROL SEOANE, MICHAEL",68,S.D. VILLESTRO,1187018
"DOS SANTOS MARQUES, ALEANDRO","BRITO GUZMAN, ALVARO",68,S.D. VILLESTRO,1187018
"LLOVO MATO, ALVARO","CASTRO MOAR, ADRIAN",79,S.D. VILLESTRO,1187018
"AGUIAR RODRIGUEZ, JULIAN","LUGO PADIN, ESTEBAN",46,LAMELA C.F.,1187018
"PEITEADO MOLEDO, SERGIO","LÓPEZ PÉREZ, ALBERTO",65,LAMELA C.F.,1187018
"SANIN CARBIA, ALBERTO","VILLAMAYOR RIVADULLA, PEDRO",77,LAMELA C.F.,1187018
"GARCIA REY, ALEJANDRO","RIVEIRA MURCIA, HUGO",77,LAMELA C.F.,1187018
"ESPIÑO CUIÑA, LOIS","GARCIA CARRERA, MANUEL",79,LAMELA C.F.,1187018
"SENDE MALLO, DIEGO","RENDO OUZANDE, XAVIER",42,C.D. SAN MAMED,1187019
"REY CALVO, BRAIS","CASAL ALVAREZ, DAVID",75,C.D. SAN MAMED,1187019
"VILA IGLESIAS, JORDAN","MACEIRA MATO, ALFONSO",75,C.D. SAN MAMED,1187019
"LOPEZ REY, JOSE LUIS","CHAS BROCOS, IAGO SENEN",88,C.D. SAN MAMED,1187019
"ESPADA PAZOS, JORGE","LOPEZ CANICOBA, FABIAN",55,A.C.U.D. CAMPORRAPADO,1187019
"RAMOS REY, NOEL","DOS REIS FERRO, OSCAR",55,A.C.U.D. CAMPORRAPADO,1187019
"VEIGA ROSENDE, IAGO","VIEITES BOUZON, MARTIN",67,A.C.U.D. CAMPORRAPADO,1187019
"GUERRERO NIEVES, FRANCISCO J","PARADA CASTIÑEIRAS, OSCAR",80,A.C.U.D. CAMPORRAPADO,1187019
"PEREIRAS PEREIRO, RAFAEL","MÍGUEZ SANMARTÍN, MIGUEL",80,A.C.U.D. CAMPORRAPADO,1187019
"PAMPIN VIZCAINO, MIGUEL","NOGUEIRA PORTAS, ADRIAN",45,C.F. CIRE DE MELIDE,1187020
"SESTO MOSQUERA, ANXO","GARCIA COSTOYA, JORGE",60,C.F. CIRE DE MELIDE,1187020
"PAMPIN NOGUEROL, DANIEL","PARRADO ROMERO, CARLOS",60,C.F. CIRE DE MELIDE,1187020
"RIVADULLA FOCIÑOS, MARCOS","VAZQUEZ NOVAS, MANUEL",73,C.F. CIRE DE MELIDE,1187020
"CASTRELO FERNANDEZ, MIGUEL","MOSTEIRO GARCIA, SERGIO",77,C.F. CIRE DE MELIDE,1187020
"AMIGO FERNANDEZ, JUAN JOSE","BATISTA RAMOS, WALDIR F",70,C.D.BELVIS,1187020
"RODRIGUEZ VILAS, BRAIS","IGLESIAS QUINTEIRO, JOSE RAMON",77,C.D.BELVIS,1187020
"SEIJO CASTRO, YAGO","RAMOS CASTRO, ANDRÉS",77,C.D.BELVIS,1187020
"LÓPEZ MÉNDEZ, MARCOS","IGLESIAS VILARIñO, SANTIAGO",63,RODEIRO C.F.,1187021
"CANGADO VILLAMARIN, CARLOS","ROMERO MONTOUTO, PABLO",79,RODEIRO C.F.,1187021
"CUÑARRO FERNÁNDEZ, PABLO","GARCIA VENCE, JOSE MANUEL",84,RODEIRO C.F.,1187021
"LAHSAN, MESAUD MOHAMED FADEL","GOMEZ LOPEZ, EZEQUIEL",55,C.D. SPORT TEAM ESTRADA,1187021
"BARRUSO ARIAS, HUGO","CHEDAS DURAN, ALFONSO",55,C.D. SPORT TEAM ESTRADA,1187021
"MIGUEZ VIDAL, DANIEL","IGLESIAS PALLAS, FERNANDO",56,C.D. SPORT TEAM ESTRADA,1187021
"GOMEZ CORA, ADRIAN","FIGUEIRAS GARCIA, PAULO",72,C.D. SPORT TEAM ESTRADA,1187021
"FRANCO SANMARTIN, CARLOS L","NOYA GOMEZ, DANIEL",46,S.D.C. RECESENDE,1187022
"GARCIA DURAN, RUBEN","CALVO CUTRIN, RAUL",68,S.D.C. RECESENDE,1187022
"NUÑEZ BARRAL, DAVID","DE LA TORRE CUEVAS, FERNANDO",81,S.D.C. RECESENDE,1187022
"ALDREY MÍGUEZ, MANUEL","JIMÉNEZ ALBARRAN, SERGIO",81,S.D.C. RECESENDE,1187022
"SAINZ TRESGUERRAS, JESUS FERNANDO","CEREIJO IGLESIAS, ALBERTO L",48,SOCIEDADE DEPORTIVA O PINO,1187022
"FUENTES PARRA, DANIEL","VILLAR VILLAR, IVAN",60,SOCIEDADE DEPORTIVA O PINO,1187022
"PAZO DURO, JAVIER","CANABAL CASTRO, ISMAEL",60,SOCIEDADE DEPORTIVA O PINO,1187022
"CARRIL CARREIRA, RAFAEL","GARCIA SENRA, DIEGO",80,SOCIEDADE DEPORTIVA O PINO,1187022
"LYAGOUBI, MOHAMED AMINE","DOMINGUEZ VAZQUEZ, CRISTIAN",71,S.D. CRUCES,1187023
"FERNANDEZ REBOREDO, JUAN","OTERO IGLESIAS, OSCAR",71,S.D. CRUCES,1187023
"CORBAL CANGADO, BENITO","KHALLOUK EL AMRANI, MOHAMED",71,S.D. CRUCES,1187023
"VAZQUEZ BALBOA, XURXO","JACOME AMARANTE, IVAN",71,S.D. CRUCES,1187023
"RAMAS MUIÑO, MARTIN","BALEATO DOMINGUEZ, MARCO",46,S.D. DUBRA B,1187023
"LIÑARES NOYA, FABIAN","CERNADAS NOYA, LUCAS",46,S.D. DUBRA B,1187023
"PARAFITA BOQUETE, ANGEL","NIETO GARCIA, BRAIS",46,S.D. DUBRA B,1187023
"VÁZQUEZ FERNÁNDEZ, ROBERTO","FORJAN GARCIA, ADRIAN",75,S.D. DUBRA B,1187023
"DA CONCEICAO ANTUNES, FELIPE MATHEUS","FARIÑA BRAVO, ADRIAN",63,S.D. CACHEIRAS,1256272
"CEBEY DE LA TORRE, MANUEL","EZERROUGUY, MOHAMED SAID",15,TRAZO C.F.,1256272
"ESPANTOSO LAMAS, RICARDO","ALONSO GIL, GUILLERMO",67,C.F. SILLEDA,1187025
"PICANS REY, HUGO","RIELO COUSO, HUGO",67,C.F. SILLEDA,1187025
"FERNÁNDEZ GARCÍA, RUBÉN","ESPIÑO RODRIGUEZ, AARON",67,C.F. SILLEDA,1187025
"ESPANTOSO LAMAS, JORGE","CAMBEIRO COSTA, AIRAS",90,C.F. SILLEDA,1187025
"VILLA MARIÑO, SERGIO","CASTRO MOAR, ADRIAN",75,S.D. VILLESTRO,1187025
"LORENZO GARRIDO, JORGE","PEREZ RIO, VICTOR",78,S.D. VILLESTRO,1187025
"BERMUDEZ MALLO, ADEL","DOS SANTOS MARQUES, ALEANDRO",80,S.D. VILLESTRO,1187025
"VILLAMAYOR RIVADULLA, PEDRO","DOVAL GARCIA, ION",53,LAMELA C.F.,1187026
"CASTRO DOMINGUEZ, FRANCISCO","ABONJO BOUZAS, ALEJANDRO",53,LAMELA C.F.,1187026
"VARELA VAZQUEZ, DAVID","RIVEIRA MURCIA, HUGO",68,LAMELA C.F.,1187026
"LUGO PADIN, ESTEBAN","ESPIÑO CUIÑA, LOIS",68,LAMELA C.F.,1187026
"PORTELA RIVAS, XIAO","AGUIAR RODRIGUEZ, JULIAN",85,LAMELA C.F.,1187026
"SENDE MALLO, DIEGO","MACEIRA MATO, ALFONSO",64,C.D. SAN MAMED,1187026
"GRANATA LOPEZ, DANIEL","VAZQUEZ PEÑA, JOSE L",72,C.D. SAN MAMED,1187026
"LOPEZ REY, JOSE LUIS","BESTEIRO SAEZ, JAVIER",81,C.D. SAN MAMED,1187026
"VIEITES BOUZON, MARTIN","LOPEZ CANICOBA, FABIAN",60,A.C.U.D. CAMPORRAPADO,1187027
"VEIGA ROSENDE, IAGO","DOS REIS FERRO, OSCAR",60,A.C.U.D. CAMPORRAPADO,1187027
"GUERRERO NIEVES, FRANCISCO J","ESPADA PAZOS, JORGE",72,A.C.U.D. CAMPORRAPADO,1187027
"VAZQUEZ RAMOS, OMAR A","SESTO MOSQUERA, ANXO",54,C.F. CIRE DE MELIDE,1187027
"RIVADULLA FOCIÑOS, MARCOS","PAMPIN NOGUEROL, DANIEL",60,C.F. CIRE DE MELIDE,1187027
"PEREIRO SANCHEZ, DAVID","VAZQUEZ NOVAS, MANUEL",69,C.F. CIRE DE MELIDE,1187027
"FERNANDEZ PEREZ, JESUS DE BELEN","IGLESIAS QUINTEIRO, JOSE RAMON",67,C.D.BELVIS,1187028
"AMIGO FERNANDEZ, JUAN JOSE","RAMOS CASTRO, ANDRÉS",67,C.D.BELVIS,1187028
"BERNAL PENAS, LUCAS","RUZA VAZQUEZ, BRAIS",75,C.D.BELVIS,1187028
"FERNÁNDEZ GALLAS, RODRIGO","MIGUEZ MEIJOMIL, MIGUEL",81,C.D.BELVIS,1187028
"LÓPEZ MÉNDEZ, MARCOS","GARCIA VENCE, JOSE MANUEL",30,RODEIRO C.F.,1187028
"LAMAZARES CASERO, ALBERTO","IGLESIAS VILARIñO, SANTIAGO",45,RODEIRO C.F.,1187028
"LAHSAN, MESAUD MOHAMED FADEL","FORTES OTERO, RAFAEL",46,C.D. SPORT TEAM ESTRADA,1187029
"IGLESIAS PALLAS, FERNANDO","BARRUSO ARIAS, HUGO",46,C.D. SPORT TEAM ESTRADA,1187029
"CHEDAS DURAN, ALFONSO","GOMEZ LOPEZ, EZEQUIEL",56,C.D. SPORT TEAM ESTRADA,1187029
"TOUCEDA GOLDAR, MIGUEL","MARQUE PASEIRO, SAMUEL",56,C.D. SPORT TEAM ESTRADA,1187029
"ULLA COSTA, RICARDO","FERNANDEZ GONZALEZ, IAGO JOSE",56,C.D. SPORT TEAM ESTRADA,1187029
"MEIJOME QUINTANA, RODRIGO","MOSQUERA GARRIDO, DIEGO",46,S.D.C. RECESENDE,1187029
"ALDREY MÍGUEZ, MANUEL","MOIMENTA MOHAMMED, MIGUEL",53,S.D.C. RECESENDE,1187029
"GARCIA DURAN, RUBEN","NOYA GOMEZ, DANIEL",53,S.D.C. RECESENDE,1187029
"CALVO CUTRIN, RAUL","DE LA TORRE CUEVAS, FERNANDO",53,S.D.C. RECESENDE,1187029
"SANCHEZ CARPINTEIRO, MIGUEL","CANICOBA BERNARDEZ, BRAIS",38,U.D. VAL DO ULLA,1187030
"CERDEIRA OTERO, ANDRE","FREIRIA LOPEZ, IGNACIO",73,U.D. VAL DO ULLA,1187030
"AMBOAGE VILLAR, IVAN","CALVIÑO IGLESIAS, PABLO",73,U.D. VAL DO ULLA,1187030
"LANDEIRA GANDARA, FRANCISCO","SANJUAS CASAL, SERGIO",89,U.D. VAL DO ULLA,1187030
"RAMOS CERNADAS, FRANCISCO J","SANCHEZ CARPINTEIRO, MIGUEL",89,U.D. VAL DO ULLA,1187030
"SUAREZ LISTE, OSCAR","CENDON GONZALEZ, JOSE",46,SOCIEDADE DEPORTIVA O PINO,1187030
"SAINZ TRESGUERRAS, JESUS FERNANDO","CARRIL CARREIRA, RAFAEL",52,SOCIEDADE DEPORTIVA O PINO,1187030
"PORTOS VILLAR, BORJA","GARCIA SENRA, DIEGO",69,SOCIEDADE DEPORTIVA O PINO,1187030
"PAZO DURO, JAVIER","FUENTES PARRA, DANIEL",69,SOCIEDADE DEPORTIVA O PINO,1187030
"VILLAR VILLAR, IVAN","CANABAL CASTRO, ISMAEL",74,SOCIEDADE DEPORTIVA O PINO,1187030
"DUBRA LORENZO, ALEJANDRO","ARNEJO DIAZ, BRAIS",46,S.D. DUBRA B,1187031
"RODRIGUEZ LANDEIRA, SERGIO J","FORJAN GARCIA, ADRIAN",71,S.D. DUBRA B,1187031
"CERNADAS NOYA, LUCAS","PAZOS MARTINEZ, ROBERTO",85,S.D. DUBRA B,1187031
"BALEATO DOMINGUEZ, MARCO","PARAFITA BOQUETE, ANGEL",85,S.D. DUBRA B,1187031
"CERDEIRA OTERO, ANDRE","CALVIÑO IGLESIAS, PABLO",66,U.D. VAL DO ULLA,1187031
"AMBOAGE VILLAR, IVAN","SANCHEZ CARPINTEIRO, MIGUEL",66,U.D. VAL DO ULLA,1187031
"LANDEIRA GANDARA, FRANCISCO","RODRIGUEZ NUÑEZ, XABIER",80,U.D. VAL DO ULLA,1187031
"DIEGUEZ LOUREIRO, RAMIRO","TORRES TEIXEIRA, ALEXANDRE",88,U.D. VAL DO ULLA,1187031
"CELA LOPEZ, LUIS","CEBEY DE LA TORRE, MANUEL",70,TRAZO C.F.,1187032
"MARTINEZ DE SANTIAGO, DIEGO","GARABATO RUIBAL, ANGEL",80,TRAZO C.F.,1187032
"BERTOA VIQUEIRA, JOSE J","BOVEDA TOSAR, ANDRE",80,TRAZO C.F.,1187032
"GARCIA LOPEZ, PABLO","BERMUDEZ CID, CARLOS",81,TRAZO C.F.,1187032
"GRANJA HERMIDA, JESUS ANTONIO","OTERO IGLESIAS, OSCAR",66,S.D. CRUCES,1187032
"LYAGOUBI, MOHAMED AMINE","DOMINGUEZ GARCIA, ADRIAN",89,S.D. CRUCES,1187032
"CORBAL CANGADO, BENITO","(90'+3) GONZALEZ EIRAS, FABIO J",0,S.D. CRUCES,1187032
"CASTRO MOAR, BRAIS","PEREZ RIO, VICTOR",61,S.D. VILLESTRO,1187033
"FUENTES OTERO, ANDRES","FIGUEIRAS PORTELA, FERNANDO",61,S.D. VILLESTRO,1187033
"BERMUDEZ MALLO, ADEL","LORENZO GARRIDO, JORGE",70,S.D. VILLESTRO,1187033
"LLOVO MATO, ALVARO","VILLA MARIÑO, SERGIO",75,S.D. VILLESTRO,1187033
"OTERO MATEOS, PABLO","BAUTISTA SANDOVAL, EMIL DANIEL",46,S.D. CACHEIRAS,1187033
"DA CONCEICAO ANTUNES, FELIPE MATHEUS","MOREDO RODRIGUEZ, EMMANUEL",73,S.D. CACHEIRAS,1187033
"CARBALLAL MONTEAGUDO, SAUL","VAAMONDE CALVIÑO, MANUEL",82,S.D. CACHEIRAS,1187033
"CHAS BROCOS, IAGO SENEN","VAZQUEZ PEÑA, JOSE L",55,C.D. SAN MAMED,1187034
