jugador_entra,jugador_sale,minuto,equipo,cod_acta
"MENDEZ FERNANDEZ, BRAIS","CARBALLAL MONTEAGUDO, SAUL",84,S.D. CACHEIRAS,1186954
"VILLAR VILLAR, IVAN","CANABAL CASTRO, ISMAEL",57,SOCIEDADE DEPORTIVA O PINO,1186954
"CEREIJO IGLESIAS, ALBERTO L","GOMES TAVARES, RAFAEL ANDRE",57,SOCIEDADE DEPORTIVA O PINO,1186954
"FARIÑAS LOPEZ, ALEJANDRO","FUENTES PARRA, DANIEL",68,SOCIEDADE DEPORTIVA O PINO,1186954
"GARCIA SENRA, DIEGO","PORTOS VILLAR, BORJA",75,SOCIEDADE DEPORTIVA O PINO,1186954
"MENDEZ REIMONDEZ, SANTIAGO","GRANJA HERMIDA, JESUS ANTONIO",62,S.D. CRUCES,1186955
"VAZQUEZ BALBOA, XURXO","FERNANDEZ REBOREDO, JUAN",69,S.D. CRUCES,1186955
"CANGAS COSTA, DIEGO","GONZALEZ SANCHEZ, ALEJANDRO",71,S.D. CRUCES,1186955
"MOIMENTA MOHAMMED, MIGUEL","NOYA GOMEZ, DANIEL",48,S.D.C. RECESENDE,1186955
"JIMÉNEZ ALBARRAN, SERGIO","GARCIA DURAN, RUBEN",48,S.D.C. RECESENDE,1186955
"CALVO CUTRIN, RAUL","NUÑEZ BARRAL, SEBASTIAN",67,S.D.C. RECESENDE,1186955
"CERNADAS NOYA, LUCAS","NIETO GARCIA, BRAIS",58,S.D. DUBRA B,1186956
"DUBRA LORENZO, ALEJANDRO","RAMAS MUIÑO, MARTIN",58,S.D. DUBRA B,1186956
"BALEATO DOMINGUEZ, MARCO","FORJAN GARCIA, ADRIAN",80,S.D. DUBRA B,1186956
"RODRIGUEZ FERNANDEZ, ADRIAN","IGLESIAS DOMINGUEZ, OSCAR",85,S.D. DUBRA B,1186956
"LÓPEZ MÉNDEZ, MARCOS","LÓPEZ GONZÁLEZ, IGNACIO",60,RODEIRO C.F.,1186956
"CEBEY DE LA TORRE, MANUEL","ARIAS GARCIA, SERGIO",52,TRAZO C.F.,1186957
"CASTRO OTERO, SAMUEL","FERREIRA PARENTE, RAUL",52,TRAZO C.F.,1186957
"BECERRA VARELA, ESTEBAN","NOYA BREA, ALVARO",57,TRAZO C.F.,1186957
"BERTOA VIQUEIRA, JOSE J","BELENDA GABIN, JORGE",65,TRAZO C.F.,1186957
"ROA BECERRA, JAVIER","BERMUDEZ CID, CARLOS",65,TRAZO C.F.,1186957
"RIVADULLA FOCIÑOS, MARCOS","PAMPIN NEGRO, JESUS",46,C.F. CIRE DE MELIDE,1186957
"PAMPIN VIZCAINO, MIGUEL","NOGUEIRA PORTAS, ADRIAN",46,C.F. CIRE DE MELIDE,1186957
"PARRADO ROMERO, CARLOS","PEREIRO SANCHEZ, DAVID",46,C.F. CIRE DE MELIDE,1186957
"PAMPIN NOGUEROL, DANIEL","VIZCAINO ALCALDE, OSCAR",51,C.F. CIRE DE MELIDE,1186957
"SESTO MOSQUERA, ANXO","MONTERROSO GOMEZ, SERGIO",51,C.F. CIRE DE MELIDE,1186957
"RODRIGUEZ GONZALEZ, YAGO","CASTRO MOAR, BRAIS",57,S.D. VILLESTRO,1186958
"FIGUEIRAS PORTELA, FERNANDO","GONZALEZ CARBALLO, ANXO",68,S.D. VILLESTRO,1186958
"TABOADA MATO, DAVID","BRITO GUZMAN, ALVARO",68,S.D. VILLESTRO,1186958
"PAN PEREZ PUJOL, PABLO","NIETO GOMEZ, JAVIER",68,S.D. VILLESTRO,1186958
"REY CALVO, BRAIS","CASAL ALVAREZ, DAVID",46,C.D. SAN MAMED,1186958
"SOUTO RIAL, JOSE","RENDO OUZANDE, XAVIER",60,C.D. SAN MAMED,1186958
"MACEIRA MATO, ALFONSO","BESTEIRO SAEZ, JAVIER",71,C.D. SAN MAMED,1186958
"CHAS BROCOS, IAGO SENEN","RENDO GUITIAN, ALEXANDRE",71,C.D. SAN MAMED,1186958
